year,point,doc_id,id_type,issuing_body,approx_date,primary_or_recap,primary_url,alt_url,notes
2001,Post-Kargil MoD acquisition structures (GoM report; DAC set up Oct 2001),,,MoD/Cabinet Secretariat,2001-05-23,primary,https://archive.pib.gov.in/archive/releases98/lyr2001/rmay2001/23052001/r2305200110.html,http://pibarchive.nic.in/archive/releases98/lyr2001/rmay2001/23052001/r2305200110.html,GoM report on Reforming the National Security System; context for 2002 row
2002,DPP-2002 consolidated (effective 30 Dec 2002; 'Buy' category),95274,relid,MoD,2013-04,recap,https://www.pib.gov.in/newsite/PrintRelease.aspx?relid=95274,https://www.pib.gov.in/newsite/PrintRelease.aspx?relid=133030,No original 2002 PIB release online; fact appears in later recaps
2003,Scope enlarged (June 2003) to Buy & Make (Global)/ToT,95274,relid,MoD,2013-04,recap,https://www.pib.gov.in/newsite/PrintRelease.aspx?relid=95274,,No original 2003 PIB release online; fact appears in later recaps
2005,First offset policy (30% above Rs 300cr) - groundwork (Kelkar Committee),8386,relid,MoD,2005,primary,https://www.pib.gov.in/newsite/erelcontent.aspx?relid=8386,,Kelkar Committee report; recommended offsets & private-sector role
2005,Offset policy history reference,107868,relid,MoD,2014,recap,https://www.pib.gov.in/newsite/PrintRelease.aspx?relid=107868,,"Defence Offset Policy - states offsets first introduced in DPP-2005"
2006,'Make' category / offset 30% Rs300cr / integrity pact Rs100cr+ / indigenous warship building,20385,relid,MoD (Pranab Mukherjee),2006-08-22,primary,https://www.pib.gov.in/newsite/erelcontent.aspx?relid=20385,https://www.pib.gov.in/newsite/erelcontent.aspx?relid=20385&reg=3&lang=2,Def Min speech releasing DPP-2006; covers entire 2006 row
2008,RFI early engagement + AoN->RFP flow,68464,relid,MoD,2010-12-13,recap,https://www.pib.gov.in/newsite/PrintRelease.aspx?relid=68464,,"Procurement of Defence Equipment - 2010 reply describing DPP-2008"
2008,Delegation of financial powers; AoN lapses if no RFP in 2 yrs,,,MoD,,none,,,No PIB source; use DPP-2008 document (cgda.nic.in)
2011,Buy & Make (Indian) 50% IC / lead integrator,,,MoD,,none,,,No PIB primary; use DPP-2011 doc (cgda.nic.in/ifa/DPP2011.pdf)
2011,Offset expanded to civil aerospace/internal security/training,107868,relid,MoD,2013,recap,https://www.pib.gov.in/newsite/PrintRelease.aspx?relid=107868,https://www.pib.gov.in/newsite/PrintRelease.aspx?relid=83718,Later reference; also relid 86770 (Revision in Offset Policy)
2011,Removed complete blacklisting for delayed delivery,,,MoD,,none,,,Not substantiated in PIB or strong secondary
2013,Preferred categorisation order + SCAPCHC/DPB delegation,95274,relid,MoD,2013-04,primary,https://www.pib.gov.in/newsite/PrintRelease.aspx?relid=95274&reg=3&lang=2,https://www.pib.gov.in/newsite/PrintRelease.aspx?relid=95274,Solid PIB primary for these two items
2013,AoN 2yr->1yr; SQR frozen before AoN,,,MoD,2013-04,none,,,Not in relid=95274 snippet; secondary spsmai.com/military/?id=2136
2016,Buy Indian IDDM (40% IC) / category reorg / Make-I&II / offset Rs300cr->Rs2000cr / six-month AoN,1519140,PRID,MoD (Subhash Bhamre RS reply),2016,primary,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1519140,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1519140,New Weapons Procurement Policy; strongest single 2016 release
2016,Penalty provision instead of blanket blacklisting,,,MoD,,none,,,Not confirmed to a PIB URL; verify in DPP-2016 text
2020,DAP-2020 unveiled / IC raised (IDDM 50%, Buy Indian 50-60%) / Buy (Global-Manufacture in India),1659746,PRID,MoD (Rajnath Singh),2020-09-28,primary,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1659746,https://pib.gov.in/PressReleseDetailm.aspx?PRID=1659746,Definitive DAP-2020 launch release
2020,Draft DPP/DAP 2020 (predecessor),1607400,PRID,MoD (Rajnath Singh),2020-03,primary,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1607400,,Draft-stage citation only
2020,FDI in defence 49%->74%,1656082,PRID,DPIIT/Min. of Commerce,2020-09-17,primary,https://www.pib.gov.in/Pressreleaseshare.aspx?PRID=1656082,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=1656082,"Press Note No.4 (2020); DPIIT not MoD. MoD-side alt PRID 1654091"
2020,FDI 74% - MoD-attributed alternate,1654091,PRID,MoD,2020,primary,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1654091,,"FDI IN DEFENCE SECTOR"
2020,Negative import list / positive indigenisation list,1644570,PRID,MoD (Rajnath Singh),2020-08-09,primary,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1644570,,MoD's big push to Atmanirbhar Bharat - first 101-item list
